コード,銘柄名,市場,業種
1720,東急建設,プライム（内国株式）,建設業
1801,大成建設,プライム（内国株式）,建設業
1802,大林組,プライム（内国株式）,建設業
1803,清水建設,プライム（内国株式）,建設業
1808,長谷工コーポレーション,プライム（内国株式）,建設業
1812,鹿島建設,プライム（内国株式）,建設業
1925,大和ハウス工業,プライム（内国株式）,建設業
1928,積水ハウス,プライム（内国株式）,建設業
1934,ユアテック,プライム（内国株式）,建設業
1939,四電工,プライム（内国株式）,建設業
1941,中電工,プライム（内国株式）,建設業
1942,関電工,プライム（内国株式）,建設業
1944,きんでん,プライム（内国株式）,建設業
1946,トーエネック,プライム（内国株式）,建設業
1949,住友電設,プライム（内国株式）,建設業
1950,日本電設工業,プライム（内国株式）,建設業
1952,新日本空調,プライム（内国株式）,建設業
1959,九電工,プライム（内国株式）,建設業
1961,三機工業,プライム（内国株式）,建設業
1969,高砂熱学工業,プライム（内国株式）,建設業
1975,朝日工業社,プライム（内国株式）,建設業
1976,明星工業,プライム（内国株式）,建設業
1979,大氣社,プライム（内国株式）,建設業
1980,ダイダン,プライム（内国株式）,建設業